eng ,English 
epo ,Esperanto 
deu ,German 
fra ,French 
spa ,Spanish 
ita ,Italian 
jpn ,Japanese 
tur ,Turkish 
rus ,Russian 
por ,Portuguese 
heb ,Hebrew 
ber ,Berber 
pol ,Polish 
cmn ,Chinese 
hun ,Hungarian 
nld ,Dutch 
fin ,Finnish 
ukr ,Ukrainian 
mar ,Marathi 
nds ,Low Saxon 
dan ,Danish 
ara ,Arabic 
swe ,Swedish 
pes ,Persian 
bul ,Bulgarian 
lat ,Latin 
ina ,Interlingua 
tlh ,Klingon 
lit ,Lithuanian 
jbo ,Lojban 
isl ,Icelandic 
tgl ,Tagalog 
ell ,Modern Greek 
nob ,Norwegian (Bokmål) 
uig ,Uyghur 
ces ,Czech 
srp ,Serbian 
vie ,Vietnamese 
hin ,Hindi 
cat ,Catalan 
ron ,Romanian 
tat ,Tatar 
bel ,Belarusian 
ido ,Ido 
wuu ,Shanghainese 
glg ,Galician 
yue ,Cantonese 
hrv ,Croatian 
oci ,Occitan 
ind ,Indonesian 
avk ,Kotava 
kaz ,Kazakh 
toki ,Toki Pona 
eus ,Basque 
slk ,Slovak 
afr ,Afrikaans 
kor ,Korean 
lzh ,Literary Chinese 
urd ,Urdu 
lvs ,Latvian 
ile ,Interlingue 
orv ,Old East Slavic 
est ,Estonian 
zsm ,Malay 
xal ,Kalmyk 
bre ,Breton 
mal ,Malayalam 
arq ,Algerian Arabic 
aze ,Azerbaijani 
prg ,Old Prussian 
non ,Norwegian (Nynorsk) 
gle ,Irish 
ben ,Bengali 
vol ,Volapük 
yid ,Yiddish 
kat ,Georgian 
arz ,Egyptian Arabic 
grn ,Guarani 
mon ,Mongolian 
gla ,Scottish Gaelic 
hsb ,Upper Sorbian 
dsb ,Lower Sorbian 
bos ,Bosnian 
kur ,Kurdish 
sqi ,Albanian 
cym ,Welsh 
slv ,Slovenian 
cor ,Cornish 
tha ,Thai 
ckt ,Chukchi 
uzb ,Uzbek 
que ,Quechua 
fao ,Faroese 
khm ,Khmer 
swh ,Swahili 
grc ,Ancient Greek 
hye ,Armenian 
oss ,Ossetian 
ang ,Old English 
fry ,Frisian 
qya ,Quenya 
nov ,Novial 
xho ,Xhosa 
mlt ,Maltese 
pcd ,Picard 
lld ,Ladin 
tpi ,Tok Pisin 
lad ,Ladino 
mri ,Maori 
ast ,Asturian 
tgk ,Tajik 
,unknown 
tel ,Telugu 
cycl ,CycL 
bod ,Standard Tibetan 
sjn ,Sindarin 
pms ,Piemontese 
acm ,Iraqi Arabic 
pnb ,Punjabi 
tpw ,Old Tupi 
san ,Sanskrit 
cha ,Chamorro 
ewe ,Ewe 
lao ,Lao 
mlg ,Malagasy 
roh ,Romansh 
ksh ,Kölsch 
hil ,Hiligaynon 
scn ,Sicilian 
ain ,Ainu 
npi ,Nepali 
nan ,Teochew 
